Start,End
7110,7110
7201,7216
34528,34533
34756,34758
34765,34767
34939,34945
34982,34985
34987,34989
35422,35427
35611,35611
35614,35625
35631,35670
35672,35678
35722,35724
36086,36088
36744,36747
38219,38221
38225,38240
38278,38279
38281,38285
38304,38304
38308,38310
38386,38388
38410,38426
38574,38589
38599,38606
39358,39358
39364,39365
39387,39392
40513,40519
40975,40995
40999,41066
41069,41069
41072,41134
41141,41158
41225,41234
41239,41356
41384,41389
42758,42772
42804,42804
44209,44245
44451,44459
44477,44482
48189,48190
48211,48224
48231,48246
48276,48279
52058,52067
52098,52110
52119,52150
52157,52216
52220,52225
54253,54260
56256,56257
56265,56266
56301,56308
56573,57566
57724,57724
57726,57786
57790,57792
57794,57794
58111,58115
59177,59184
59213,59218
60071,60072
60271,60287
60708,60834
60848,60902
60914,60941
60944,60960
60972,60986
61003,61018
61026,61060
61072,61087
61102,61118
62117,62197
62200,62201
62205,62206
62213,62237
62254,62277
62290,62309
63635,63680
63691,63712
63793,63804
63816,63835
64150,64160
65124,65133
65212,65260
65293,65341
65376,65415
65418,65421
65459,65459
66684,66694
66720,66781
66876,66916
67027,67069
67100,67102
67105,67108
67140,67142
67200,67205
67294,67300
67309,67328
67440,67445
67520,67522
67524,67530
67646,67674
67695,67705
67708,67725
67727,67741
67774,67793
67863,67869
67945,67950
68540,68543
68564,68577
68595,68707
68715,68736
68738,68739
68741,68742
68744,68747
68755,68759
68761,68763
70114,70120
70376,70376
70522,70524
70760,70761
71217,71234
72113,72175
72194,72220
72236,72384
72397,72445
72464,72480
75246,75246
75852,75853
75856,76015
76017,76017
76020,76035
77509,77510
77512,77529
80054,80058
81410,81415
83999,84016
84037,84058
84061,84061
85533,85533
85557,85558
85736,85759
85773,85777
87045,87053
87081,87089
87820,87820
87824,87855
88319,88321
88446,88730
88732,88735
88738,88739
88742,88745
88747,88747
88749,88749
88753,88757
88759,88759
88767,88767
88779,88779
88801,88802
88823,88830
88850,88867
88873,88884
89312,89316
89391,89630
89703,89824
89827,89849
89855,89857
89861,89868
89892,89894
90430,90437
90786,90786
90970,90973
91058,91081
91128,91134
94047,94052
101161,101176
101198,101221
101227,101234
101270,101274
101394,101411
101425,101443
101465,101472
101491,101491
101496,101499
102045,102055
102074,102076
102124,102124
102153,102154
102183,102191
102283,102291
102303,102323
102337,102345
102357,102357
102359,102368
102374,102383
102385,102388
102392,102396
102398,102400
102409,102412
102415,102415
102428,102429
107680,107782
107813,107827
107934,107988
107997,108013
108079,108079
108566,108570
108597,108651
108671,108672
108676,108685
108696,108773
113647,113663
113724,113823
116667,116667
116678,117397
117432,117450
118022,118045
118248,118291
118293,118351
118542,118566
119694,119773
119786,119809
119812,119819
119828,119841
119846,119846
119994,119998
120073,120075
120079,120084
120119,120132
120168,120169
120173,120185
120219,120219
120223,120226
120289,120293
120295,120295
120336,120343
120379,120379
120382,120382
120386,120396
120664,120666
120672,120673
120847,120847
120863,120882
120891,120916
120928,120947
120968,120977
120999,121006
121026,121049
121073,121088
121105,121121
121138,121156
121169,121190
121197,121215
121221,121373
121376,121376
121397,121401
121405,121408
121431,121433
121436,121449
121480,121487
121610,121618
121634,121660
121676,121697
121717,121742
124643,124649
124729,124750
124788,124789
124952,124959
126197,126203
126232,126236
128017,128019
128282,128285
128360,128365
128560,128560
128681,128682
128714,128714
128818,128828
128854,128854
128856,128866
128899,128900
128902,128914
129165,129165
129209,129209
129212,129213
129337,129337
129339,129339
129488,129494
129528,129537
129618,129627
130637,130637
130640,130640
132009,132014
132037,132044
132063,132070
132328,132334
132573,132581
132930,132933
133243,133248
133280,133284
133613,133613
133615,133616
133688,133689
133701,133701
133881,133901
133943,133949
133988,133994
134059,134065
134100,134107
134140,134149
134228,134263
134277,134291
134308,134320
134334,134361
134374,134408
135130,135150
135184,135191
135206,135212
135227,135248
135257,135260
135794,135806
135956,135964
136033,136049
137186,137193
137246,137259
137312,137326
137582,137591
137616,137617
137756,137764
137776,137792
137805,137828
138543,138559
138561,138637
138639,138718
138720,138737
140792,140801
140823,140843
141090,141096
141131,141139
141173,141179
141414,141418
141899,141899
141904,141912
141997,142016
142232,142256
143994,143997
143999,144009
147474,147481
147507,147518
147549,147558
147785,147791
147816,147830
147859,147871
147899,147906
147978,147980
148107,148114
148137,148148
148231,148241
148266,148273
148302,148310
149570,149570
158679,158681
158718,158718
158720,158720
158722,158722
158779,158780
158835,158837
158881,158881
158885,158887
159584,159591
160457,160457
160459,160460
160463,160464
160781,160781
160819,160819
160821,160822
160824,160824
160872,160872
161101,161101
161103,161105
161771,161771
162162,162162
163541,163544
164335,164335
164337,164342
164344,164348
168216,168219
171468,171471
172309,172315
172325,172333
172345,172346
174896,174897
174922,174923
179543,179545
179555,179612
179688,179688
179695,179695
179711,179711
179715,179730
179843,179843
179907,179908
179915,179934
179996,180009
180043,180049
180051,180058
180126,180127
180207,180208
180217,180223
180298,180300
180303,180304
180605,180605
180952,180953
180964,180964
181224,181228
181567,181567
181571,181571
181592,181592
181623,181623
181633,181634
181668,181668
181742,181751
181753,181756
181758,181758
181806,181831
181894,181894
182261,182262
192298,192305
192357,192359
192417,192431
192463,192463
192494,192497
192581,192587
